% OnTime CPT,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hub,2026-04-23,2026-04-22,2026-04-21,2026-04-20,2026-04-19,2026-04-18,2026-04-17,2026-04-16,2026-04-15,2026-04-14,2026-04-13,2026-04-12,2026-04-11,2026-04-10,2026-04-09,2026-04-08,2026-04-07,2026-04-06,2026-04-05,2026-04-04,2026-04-03,2026-04-02,2026-04-01,2026-03-31,2026-03-30,2026-03-29,2026-03-28,2026-03-27,2026-03-26,2026-03-25,2026-03-24,2026-03-23,2026-03-22,2026-03-21,2026-03-20,2026-03-19,2026-03-18,2026-03-17,2026-03-16,2026-03-15,2026-03-14,2026-03-13,2026-03-12,2026-03-11,2026-03-10,2026-03-09,2026-03-08,2026-03-07,2026-03-06,2026-03-05,2026-03-04,2026-03-03,2026-03-02,2026-03-01,2026-02-28,2026-02-27,2026-02-26,2026-02-25,2026-02-24,2026-02-23,2026-02-22,2026-02-21,2026-02-20,2026-02-19,2026-02-18,2026-02-17,2026-02-16,2026-02-15,2026-02-14,2026-02-13,2026-02-12,2026-02-11,2026-02-10,2026-02-09,2026-02-08,2026-02-07,2026-02-06,2026-02-05,2026-02-04,2026-02-03,2026-02-02,2026-02-01,2026-01-31,2026-01-30,2026-01-29,2026-01-28,2026-01-27,2026-01-26,2026-01-25,Total
ATL-13,1.0,1.0,1.0,0.833333,1.0,1.0,0.833333,1.0,0.833333,0.833333,0.833333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.833333,0.833333,0.9,1.0,0.875,0.857143,1.0,1.0,0.666667,0.888889,0.833333,0.714286,1.0,1.0,1.0,1.0,0.6,0.666667,0.833333,1.0,1.0,0.666667,0.833333,0.777778,0.857143,0.833333,1.0,1.0,0.833333,0.833333,0.777778,1.0,0.857143,0.833333,0.666667,0.833333,0.833333,0.9,0.833333,0.857143,0.666667,0.875,0.833333,0.75,0.9,0.5,0.66667,0.666667,0.666667,1.0,1.0,1.0,1.0,0.5,0.5,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88743
CRN-1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986667
DTX-1,0.625,0.833333,1.0,1.0,0.833333,0.666667,1.0,0.857143,1.0,0.714286,0.5,0.666667,1.0,0.833333,1.0,0.833333,1.0,0.666667,0.5,0.666667,0.833333,0.875,0.857143,0.833333,0.5,0.833333,0.666667,1.0,1.0,1.0,0.857143,1.0,0.714286,0.833333,0.857143,1.0,0.714286,1.0,0.666667,1.0,0.5,1.0,1.0,1.0,0.5,0.833333,0.833333,1.0,1.0,0.888889,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.833333,1.0,0.5,0.833333,0.833333,1.0,0.833333,0.833333,0.5,1.0,1.0,1.0,0.6,0.857143,0.666667,0.571429,1.0,1.0,1.0,1.0,0.625,0.777778,0.777778,0.857143,0.875,0.714286,0.666667,0.5,1.0,1.0,1.0,0.844628
EWR-2,0.96,0.842105,0.7,0.3,0.894737,0.894737,1.0,0.56,0.578947,1.0,1.0,0.947368,0.947368,0.894737,0.96,0.894737,0.85,0.684211,0.894737,1.0,0.9,0.52,0.684211,0.9,0.631579,0.736842,0.947368,0.65,0.958333,0.315789,0.227273,0.526316,0.571429,0.95,0.3,0.807692,0.52381,0.409091,0.4,1.0,0.95,0.631579,0.64,0.894737,0.904762,0.85,0.95,0.95,1.0,0.821429,0.653846,0.5,0.45,0.727273,0.555556,0.5,0.44,0.368421,0.238095,1.0,,0.75,0.894737,0.666667,0.944444,0.894737,1.0,1.0,0.875,0.875,0.952381,0.8125,1.0,0.9375,1.0,1.0,1.0,1.0,0.923077,0.533333,0.769231,0.3,0.947368,0.947368,1.0,0.842105,1.0,1.0,1.0,0.770845
FPK-1,,,1.0,0.5,0.454545,1.0,0.636364,0.866667,0.666667,0.916667,0.727273,0.8,0.75,0.909091,0.769231,0.923077,0.909091,0.909091,0.909091,1.0,1.0,0.818182,0.916667,1.0,0.636364,0.6,0.909091,1.0,1.0,0.846154,1.0,0.916667,0.916667,0.666667,0.909091,0.916667,1.0,1.0,0.818182,1.0,1.0,0.75,0.933333,1.0,1.0,0.916667,0.916667,0.916667,0.833333,1.0,0.769231,0.769231,0.916667,0.833333,0.916667,0.75,0.833333,0.923077,0.8,0.727273,0.916667,0.916667,0.916667,0.941176,1.0,0.846154,0.916667,1.0,1.0,1.0,1.0,1.0,0.875,0.857143,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.6,0.866667,0.933333,1.0,1.0,1.0,1.0,1.0,0.88978
GCO-1,0.916667,0.777778,0.888889,0.888889,1.0,1.0,0.875,1.0,1.0,0.888889,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.888889,1.0,0.916667,0.818182,0.727273,0.818182,1.0,0.9,1.0,0.923077,0.6,0.6,0.9,1.0,1.0,1.0,0.923077,0.9,0.8,0.875,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.833333,0.777778,1.0,0.916667,0.9,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.941504
GRE-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAX-11,0.411765,1.0,0.416667,0.636364,0.909091,1.0,0.923077,0.444444,0.636364,0.5,0.416667,0.909091,1.0,0.454545,0.928571,1.0,0.833333,0.363636,1.0,0.909091,0.909091,0.857143,0.727273,0.833333,0.5,1.0,0.363636,0.909091,0.466667,0.25,0.6,0.727273,0.8,0.363636,0.166667,0.533333,0.916667,0.846154,0.333333,0.923077,1.0,0.769231,0.947368,0.923077,0.533333,0.384615,0.846154,0.769231,0.923077,0.9,1.0,0.75,0.307692,0.923077,0.5,0.461538,0.555556,0.538462,0.333333,0.230769,0.769231,0.230769,0.692308,0.444444,0.615385,0.533333,0.307692,0.846154,0.307692,0.769231,0.722222,0.769231,0.4375,0.785714,1.0,0.8,1.0,1.0,0.8,0.571429,0.6,0.25,1.0,1.0,0.842105,0.866667,1.0,1.0,1.0,0.696539
LAX-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.857143,1.0,1.0,1.0,1.0,1.0,1.0,0.857143,1.0,1.0,1.0,0.857143,0.857143,0.857143,1.0,0.857143,1.0,1.0,1.0,1.0,0.857143,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.875,1.0,0.888889,0.666667,0.9,1.0,0.125,1.0,1.0,0.666667,1.0,1.0,0.9,1.0,0.909091,1.0,0.625,1.0,0.888889,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.875,0.125,1.0,1.0,0.555556,0.333333,1.0,1.0,0.8,0.888889,1.0,1.0,1.0,1.0,0.888889,0.7,1.0,0.769231,0.461538,0.916667,0.823529,0.833333,1.0,1.0,1.0,0.89384
MCO-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993671
MNY-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777778,1.0,0.9,0.727273,0.9,1.0,1.0,0.888889,0.866667,0.777778,0.9,1.0,1.0,1.0,1.0,1.0,0.6,0.833333,1.0,1.0,1.0,0.952381,0.962963,0.952381,1.0,1.0,1.0,0.941358
NYC-1,1.0,1.0,1.0,0.666667,1.0,1.0,0.666667,1.0,0.666667,1.0,0.333333,1.0,1.0,0.666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,1.0,0.666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,1.0,0.666667,1.0,0.666667,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.931034
ORD-7,0.588235,0.428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516129
Total,0.786408,0.82716,0.810127,0.6625,0.868421,0.948718,0.902439,0.76,0.775,0.776471,0.7625,0.922078,0.95,0.858974,0.948454,0.95,0.925,0.790123,0.923077,0.936709,0.936709,0.791667,0.829268,0.880952,0.722892,0.846154,0.848101,0.873418,0.89,0.62963,0.647727,0.825,0.829268,0.8375,0.679012,0.818182,0.811765,0.767442,0.6625,0.987654,0.914634,0.790123,0.859813,0.952381,0.758621,0.850575,0.924051,0.864198,0.94186,0.901786,0.842105,0.771739,0.717647,0.860759,0.725275,0.740741,0.733945,0.743902,0.636364,0.758065,0.846154,0.746479,0.857143,0.823009,0.855422,0.72093,0.802469,0.958904,0.772727,0.818182,0.881188,0.867647,0.780822,0.852941,1.0,0.96,1.0,1.0,0.849057,0.724138,0.86,0.622222,0.907563,0.948718,0.926667,0.900826,1.0,1.0,1.0,0.84298